"TransactionAmount","TransactionDuration","LoginAttempts","AccountBalance","CustomerAge","TransactionType","Location","Channel"
"14.09","81","1","5112.21","70","Debit","San Diego","ATM"
"376.24","141","1","13758.91","68","Debit","Houston","ATM"
"126.29","56","1","1122.35","19","Debit","Mesa","Online"
"184.5","25","1","8569.06","26","Debit","Raleigh","Online"
"13.45","198","1","7429.4","26","Credit","Atlanta","Online"
"92.15","172","1","781.68","18","Debit","Oklahoma City","ATM"
"7.08","139","1","13316.71","37","Credit","Seattle","ATM"
"171.42","291","1","2796.24","67","Credit","Indianapolis","Branch"
"106.23","86","1","9095.14","51","Credit","Detroit","Branch"
"815.96","120","1","1021.88","55","Debit","Nashville","ATM"
"17.78","59","1","7599.52","52","Credit","Albuquerque","Online"
"190.02","173","1","1528.81","21","Debit","Memphis","Online"
"494.52","111","1","1620.02","24","Credit","Mesa","Branch"
"781.76","123","1","189.69","26","Debit","Memphis","ATM"
"166.99","134","1","299.93","18","Debit","Louisville","Online"
"465.45","129","1","3465.54","36","Debit","Denver","ATM"
"555.8","158","1","1131.26","19","Credit","Austin","Branch"
"492.93","234","1","5109.97","39","Debit","Columbus","Online"
"18.68","106","1","7948.37","59","Credit","Albuquerque","Branch"
"71.48","169","1","6568.59","18","Credit","Columbus","Online"
"59.32","38","1","5750.89","71","Debit","Los Angeles","Branch"
"85.77","93","1","9146.19","38","Debit","Las Vegas","Branch"
"52.2","120","1","8974.93","39","Debit","Atlanta","Online"
"345.84","142","3","1402.5","22","Debit","Fort Worth","Online"
"145.54","96","1","1930.96","21","Debit","Raleigh","Online"
"7.49","276","1","3634.67","65","Credit","Houston","Online"
"246.93","158","5","673.35","23","Debit","Miami","ATM"
"40.32","95","1","2686.52","37","Debit","Milwaukee","Branch"
"127.45","197","1","1772.06","44","Debit","Las Vegas","Online"
"56.17","283","1","1351.69","27","Debit","Detroit","Branch"
"28.31","20","1","8334.47","59","Credit","Miami","Online"
"59.12","257","1","9823.64","29","Debit","Baltimore","ATM"
"396.45","168","3","9690.15","49","Debit","New York","ATM"
"877.81","150","1","399.0","22","Debit","Los Angeles","Online"
"255.26","50","1","14815.87","45","Credit","San Francisco","Branch"
"124.76","45","1","5764.72","49","Debit","Seattle","Branch"
"78.13","145","1","900.61","26","Debit","Milwaukee","Branch"
"649.28","137","1","4875.86","75","Debit","San Jose","ATM"
"795.31","90","2","7914.88","66","Debit","Mesa","ATM"
"335.63","216","1","1019.39","55","Debit","Oklahoma City","Online"
"328.47","119","1","4323.66","63","Debit","San Antonio","ATM"
"34.02","19","1","14214.48","38","Debit","Philadelphia","Online"
"241.42","116","1","13357.02","57","Credit","Charlotte","Online"
"55.32","117","1","241.79","19","Debit","Tucson","ATM"
"304.31","33","1","868.61","27","Debit","Louisville","Branch"
"435.27","90","1","4673.28","74","Debit","Chicago","Branch"
"164.49","75","1","1509.27","26","Debit","Baltimore","Branch"
"510.24","105","1","781.7","19","Debit","Oklahoma City","Online"
"626.9","138","1","265.51","26","Debit","Denver","Online"
"22.01","175","1","1335.09","41","Credit","Sacramento","Online"
"425.34","121","1","3907.54","69","Credit","Kansas City","Online"
"424.56","264","1","5183.85","51","Debit","Omaha","Online"
"85.43","145","1","14904.9","67","Debit","Virginia Beach","Branch"
"169.5","142","1","918.88","28","Debit","San Diego","Branch"
"104.63","90","1","4477.78","62","Debit","Omaha","ATM"
"316.95","83","1","1324.03","25","Debit","Mesa","Branch"
"60.54","52","1","3534.93","57","Credit","Columbus","Branch"
"292.56","61","1","4638.37","68","Credit","Dallas","Branch"
"386.52","28","1","5630.61","48","Debit","Indianapolis","Branch"
"112.07","51","1","930.3","23","Debit","Kansas City","Branch"
"568.52","152","1","5499.91","46","Debit","Indianapolis","ATM"
"263.99","227","2","4175.02","79","Debit","Dallas","Branch"
"349.64","226","1","6651.62","48","Debit","Las Vegas","Online"
"601.4","104","1","8458.29","56","Credit","Philadelphia","Branch"
"5.77","124","1","13988.12","50","Debit","Charlotte","Online"
"201.33","186","1","2585.07","42","Credit","Nashville","Branch"
"298.42","225","1","3014.75","56","Debit","Indianapolis","Branch"
"521.06","128","1","1951.42","25","Debit","Albuquerque","Branch"
"117.28","16","1","3665.77","60","Credit","Austin","Online"
"189.12","103","1","977.01","32","Credit","Indianapolis","Branch"
"133.55","220","1","3846.28","44","Debit","Atlanta","ATM"
"143.21","135","1","6374.82","35","Debit","Dallas","Online"
"24.77","55","1","5866.01","62","Debit","Boston","ATM"
"233.92","280","1","6537.62","26","Credit","Jacksonville","Online"
"1212.51","24","1","605.95","20","Debit","Indianapolis","Branch"
"232.12","51","1","6689.87","37","Debit","Omaha","ATM"
"162.63","113","1","634.17","22","Debit","Kansas City","Online"
"91.53","69","1","14676.05","44","Debit","Milwaukee","Branch"
"120.29","77","1","1362.39","19","Debit","Miami","Branch"
"174.25","67","1","10528.34","50","Debit","Seattle","Online"
"183.71","102","1","552.52","38","Debit","Denver","ATM"
"345.39","80","1","6451.96","58","Credit","Phoenix","Online"
"922.55","87","1","4715.84","63","Debit","Detroit","ATM"
"259.91","170","1","7176.86","49","Debit","Denver","Online"
"154.71","157","1","1523.72","34","Debit","San Diego","Online"
"1340.19","30","1","8654.28","54","Credit","Austin","Online"
"24.56","69","1","9869.93","64","Debit","Mesa","Branch"
"568.07","115","1","10556.81","48","Debit","Washington","ATM"
"9.61","179","1","12883.91","58","Credit","San Diego","Online"
"392.96","100","1","791.65","24","Debit","Kansas City","Online"
"716.93","34","1","4064.02","60","Credit","Milwaukee","Online"
"223.85","55","4","2929.91","53","Debit","Kansas City","ATM"
"230.66","135","1","618.05","21","Debit","Houston","Branch"
"442.12","260","1","1375.8","19","Debit","Los Angeles","Online"
"644.17","72","1","1143.52","29","Debit","San Antonio","ATM"
"508.68","127","1","7708.41","51","Credit","Mesa","Branch"
"858.63","185","1","1872.96","27","Credit","San Francisco","Branch"
"25.36","78","1","201.04","57","Debit","Louisville","ATM"
"147.62","133","1","2115.8","71","Debit","Charlotte","Branch"
"115.02","175","1","7643.66","37","Debit","San Antonio","Branch"
"383.37","24","1","8901.93","30","Debit","Fort Worth","Branch"
"98.54","167","1","9383.43","20","Credit","El Paso","Online"
"83.24","164","1","1181.31","55","Credit","Fort Worth","Branch"
"196.16","146","1","9418.86","27","Debit","Virginia Beach","Branch"
"129.94","235","1","7954.92","32","Debit","Las Vegas","ATM"
"306.9","51","1","9418.08","46","Debit","Colorado Springs","Online"
"114.98","80","1","6144.68","59","Debit","Seattle","Online"
"756.59","17","1","420.65","27","Debit","Sacramento","Branch"
"503.76","35","1","447.82","22","Debit","Los Angeles","Online"
"143.03","147","1","7981.45","63","Debit","San Antonio","ATM"
"1045.22","73","1","1829.9","53","Debit","Columbus","ATM"
"245.54","180","1","985.06","25","Debit","New York","ATM"
"254.37","174","1","8849.26","51","Credit","Dallas","Online"
"213.76","282","1","3528.72","78","Credit","Dallas","ATM"
"327.86","104","1","480.16","40","Debit","Fresno","Online"
"2.5","107","1","12145.27","47","Debit","San Diego","Online"
"300.08","47","1","13546.75","68","Credit","Austin","Online"
"56.98","122","2","5688.37","43","Credit","Oklahoma City","ATM"
"407.65","62","1","8346.64","26","Debit","Boston","Online"
"115.83","167","1","6481.04","39","Debit","Fresno","Branch"
"53.57","121","1","1651.33","69","Debit","Houston","ATM"
"63.34","165","1","11174.94","46","Credit","Detroit","Online"
