"Customer_Type","Product","Category","Unit_Price","Quantity","Discount","Total_Price","Region"
"B2B","Vio Wasser","Water","1.66","53","0.1","79.18","Baden-WÃ¼rttemberg"
"B2B","Evian","Water","1.56","90","0.1","126.36","Baden-WÃ¼rttemberg"
"B2B","Sprite","Soft Drinks","1.17","73","0.05","81.14","Baden-WÃ¼rttemberg"
"B2B","Rauch Multivitamin","Juices","3.22","59","0.1","170.98","Baden-WÃ¼rttemberg"
"B2B","Gerolsteiner","Water","0.87","35","0.1","27.4","Baden-WÃ¼rttemberg"
"B2C","Sauvignon Blanc","Alcoholic Beverages","9.09","2","0.0","18.18","Schleswig-Holstein"
"B2B","Tomato Juice","Juices","2.14","44","0.1","84.74","Hamburg"
"B2B","Vittel","Water","0.43","13","0.05","5.31","Hamburg"
"B2B","San Pellegrino","Water","1.21","92","0.1","100.19","Hamburg"
"B2B","Evian","Water","1.38","3","0.05","3.93","Hamburg"
"B2C","Mountain Dew","Soft Drinks","0.99","11","0.0","10.89","Bayern"
"B2B","Hohes C Orange","Juices","1.52","8","0.05","11.55","Bayern"
"B2B","Red Bull","Soft Drinks","2.13","16","0.05","32.38","Bayern"
"B2B","Chardonnay","Alcoholic Beverages","6.45","3","0.05","18.38","Bayern"
"B2B","Tanqueray","Alcoholic Beverages","33.36","43","0.15","1219.31","Bayern"
"B2B","RotkÃ¤ppchen Sekt","Alcoholic Beverages","5.89","44","0.05","246.2","Saarland"
"B2B","Mango Juice","Juices","2.5","10","0.05","23.75","Saarland"
"B2B","Apollinaris","Water","0.82","13","0.05","10.13","Saarland"
"B2B","Mountain Dew","Soft Drinks","1.87","89","0.15","141.47","Saarland"
"B2B","Riesling","Alcoholic Beverages","11.48","21","0.05","229.03","Saarland"
"B2C","Vio Wasser","Water","1.61","13","0.0","20.93","Baden-WÃ¼rttemberg"
"B2C","Rauch Multivitamin","Juices","2.31","7","0.0","16.17","Baden-WÃ¼rttemberg"
"B2C","Granini Apple","Juices","1.64","2","0.0","3.28","Schleswig-Holstein"
"B2C","Fanta","Soft Drinks","1.19","15","0.0","17.85","Schleswig-Holstein"
"B2C","Hohes C Orange","Juices","1.8","2","0.0","3.6","ThÃ¼ringen"
"B2C","Rockstar","Soft Drinks","2.27","10","0.0","22.7","ThÃ¼ringen"
"B2B","Club Mate","Soft Drinks","2.31","33","0.05","72.42","Bayern"
"B2B","Sprite","Soft Drinks","1.19","84","0.1","89.96","Bayern"
"B2B","Vio Wasser","Water","1.96","79","0.1","139.36","Bayern"
"B2B","Krombacher","Alcoholic Beverages","1.71","77","0.15","111.92","Brandenburg"
"B2C","Erdinger WeiÃŸbier","Alcoholic Beverages","2.04","14","0.0","28.56","Nordrhein-Westfalen"
"B2C","Granini Apple","Juices","1.69","7","0.0","11.83","Nordrhein-Westfalen"
"B2C","Volvic Touch","Water","1.46","2","0.0","2.92","Nordrhein-Westfalen"
"B2C","Volvic","Water","0.58","9","0.0","5.22","Nordrhein-Westfalen"
"B2C","Fanta","Soft Drinks","1.23","11","0.0","13.53","Nordrhein-Westfalen"
"B2C","RotkÃ¤ppchen Sekt","Alcoholic Beverages","8.54","6","0.0","51.24","Mecklenburg-Vorpommern"
"B2C","Volvic Touch","Water","1.46","3","0.0","4.38","Mecklenburg-Vorpommern"
"B2C","Schwip Schwap","Soft Drinks","1.27","4","0.0","5.08","Mecklenburg-Vorpommern"
"B2C","Fritz-Kola","Soft Drinks","2.12","11","0.0","23.32","Mecklenburg-Vorpommern"
"B2C","Club Mate","Soft Drinks","2.19","3","0.0","6.57","Sachsen-Anhalt"
"B2C","RotkÃ¤ppchen Sekt","Alcoholic Beverages","8.29","13","0.0","107.77","Sachsen-Anhalt"
"B2C","Tomato Juice","Juices","3.33","2","0.0","6.66","Sachsen-Anhalt"
"B2C","Coca-Cola","Soft Drinks","1.07","3","0.0","3.21","Sachsen-Anhalt"
"B2C","Selters","Water","0.46","9","0.0","4.14","Mecklenburg-Vorpommern"
"B2C","Cranberry Juice","Juices","3.46","7","0.0","24.22","Mecklenburg-Vorpommern"
"B2C","Riesling","Alcoholic Beverages","4.32","13","0.0","56.16","Nordrhein-Westfalen"
"B2B","Cranberry Juice","Juices","2.71","36","0.15","82.93","Niedersachsen"
"B2B","Fanta","Soft Drinks","0.94","90","0.1","76.14","Niedersachsen"
"B2B","Rauch Multivitamin","Juices","2.91","80","0.1","209.52","Niedersachsen"
"B2B","Mezzo Mix","Soft Drinks","1.53","92","0.1","126.68","Hamburg"
"B2B","Fritz-Kola","Soft Drinks","2.52","65","0.1","147.42","Hamburg"
"B2C","Club Mate","Soft Drinks","2.26","5","0.0","11.3","Rheinland-Pfalz"
"B2C","Beck's","Alcoholic Beverages","1.41","14","0.0","19.74","Rheinland-Pfalz"
"B2C","Tanqueray","Alcoholic Beverages","35.65","14","0.0","499.1","Rheinland-Pfalz"
"B2C","Red Bull","Soft Drinks","2.35","12","0.0","28.2","Rheinland-Pfalz"
"B2C","Vio Wasser","Water","1.71","4","0.0","6.84","Rheinland-Pfalz"
"B2B","Vittel","Water","0.78","74","0.1","51.95","Bremen"
"B2B","Beck's","Alcoholic Beverages","1.13","36","0.05","38.65","Bremen"
"B2C","Club Mate","Soft Drinks","2.13","3","0.0","6.39","Sachsen"
"B2C","Volvic","Water","0.55","12","0.0","6.6","Sachsen"
"B2C","Apollinaris","Water","0.93","9","0.0","8.37","Sachsen"
"B2C","Rauch Multivitamin","Juices","2.38","6","0.0","14.28","Bremen"
"B2C","Passion Fruit Juice","Juices","3.02","9","0.0","27.18","Bremen"
"B2C","Beck's","Alcoholic Beverages","1.37","9","0.0","12.33","Bremen"
"B2C","Mezzo Mix","Soft Drinks","0.61","1","0.0","0.61","Schleswig-Holstein"
"B2C","Fritz-Kola","Soft Drinks","2.05","10","0.0","20.5","Schleswig-Holstein"
"B2C","Monster","Soft Drinks","3.21","2","0.0","6.42","Schleswig-Holstein"
"B2C","Vittel","Water","0.56","4","0.0","2.24","Nordrhein-Westfalen"
